"Date","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"2019-01-02",166.350006103516,167.289993286133,163.630004882812,165.009994506836,1439900,109.734436035156
"2019-01-03",164.339996337891,167.809997558594,164.309997558594,164.869995117188,1559100,109.641311645508
"2019-01-04",165.830001831055,168.860000610352,164.179992675781,167.380004882812,1056100,111.310493469238
"2019-01-07",167.839996337891,170.649993896484,167.570007324219,169.139999389648,1571100,112.480964660645
"2019-01-08",169.800003051758,173.589996337891,168.649993896484,173.179992675781,1616000,115.167625427246
"2019-01-09",173.669998168945,173.929992675781,171.800003051758,173.419998168945,1022700,115.327239990234
"2019-01-10",171.259994506836,173.919998168945,170.210006713867,173.350006103516,1563400,115.280654907227
"2019-01-11",173.179992675781,173.179992675781,170.570007324219,172.350006103516,1470600,114.61563873291
"2019-01-14",171.550003051758,172.419998168945,170.190002441406,170.740005493164,1093900,113.544960021973
"2019-01-15",170.839996337891,172.880004882812,170.619995117188,171.229995727539,1462900,113.870819091797
"2019-01-16",171.220001220703,173.059997558594,170.5,172.889999389648,1359800,114.974754333496
"2019-01-17",172.509994506836,173.880004882812,171.350006103516,173.270004272461,1183100,115.227470397949
"2019-01-18",175.520004272461,175.520004272461,172.169998168945,173.960006713867,1251700,115.686332702637
"2019-01-22",173.899993896484,174.050003051758,171.839996337891,173.259994506836,1192600,115.220825195312
"2019-01-23",173.289993286133,174.279998779297,172.399993896484,174.169998168945,1299800,115.825996398926
"2019-01-24",174,176.020004272461,173.039993286133,175.270004272461,1345400,116.557502746582
"2019-01-25",175.809997558594,177.399993896484,175.539993286133,177.110000610352,1228400,117.781150817871
"2019-01-28",176.660003662109,178.789993286133,175.550003051758,178.5,1432800,118.705505371094
"2019-01-29",178.110000610352,179.520004272461,177.690002441406,179.199996948242,1817200,119.171043395996
"2019-01-30",179.229995727539,182.619995117188,178.669998168945,181.25,2389700,120.534324645996
"2019-01-31",181,182.419998168945,179.589996337891,182.119995117188,2544400,121.112884521484
"2019-02-01",184.580001831055,185.220001220703,176.600006103516,179.210006713867,2204400,119.177719116211
"2019-02-04",179,181.899993896484,178.580001831055,181.869995117188,1531600,120.946594238281
"2019-02-05",182.339996337891,184.149993896484,181.119995117188,184,1322900,122.363098144531
"2019-02-06",184,184.970001220703,182.25,183.850006103516,973500,122.263343811035
"2019-02-07",182.570007324219,186.029998779297,181.380004882812,185.850006103516,1579900,123.593376159668
"2019-02-08",184.880004882812,186.440002441406,183.440002441406,184.100006103516,1363600,122.429626464844
"2019-02-11",184,185.479995727539,183.389999389648,185.300003051758,1124500,123.22762298584
"2019-02-12",185.929992675781,186.039993286133,183.610000610352,184.600006103516,1905100,122.762107849121
"2019-02-13",182.199996948242,184.5,181.639999389648,184,1281200,123.73722076416
