"date","ticker","log_return"
2019-02-26,"ETSY",0.1513
2019-10-24,"TSLA",0.1627
2019-10-31,"ETSY",-0.1712
2020-02-03,"TSLA",0.1814
2020-02-05,"TSLA",-0.1885
2020-03-11,"BA",-0.2003
2020-03-12,"UAL",-0.2857
2020-03-12,"BA",-0.1998
2020-03-12,"SPG",-0.1953
2020-03-13,"JPM",0.1656
2020-03-16,"UAL",-0.1604
2020-03-16,"ETSY",-0.1627
2020-03-16,"JPM",-0.1621
2020-03-16,"MSFT",-0.1595
2020-03-16,"BA",-0.2724
2020-03-16,"TSLA",-0.2055
2020-03-16,"NVDA",-0.204
2020-03-16,"SPG",-0.3108
2020-03-18,"UAL",-0.3608
2020-03-18,"BA",-0.1975
2020-03-18,"TSLA",-0.1748
2020-03-18,"SPG",-0.2703
2020-03-19,"TSLA",0.1688
2020-03-19,"SPG",0.2158
2020-03-24,"UAL",0.2288
2020-03-24,"BA",0.1897
2020-03-24,"TSLA",0.1508
2020-03-24,"NVDA",0.1583
2020-03-25,"BA",0.2177
2020-04-01,"UAL",-0.207
2020-04-01,"SPG",-0.1538
2020-04-06,"ETSY",0.1971
2020-04-06,"BA",0.1779
2020-05-18,"UAL",0.1917
2020-05-26,"UAL",0.151
2020-06-04,"UAL",0.1501
2020-06-11,"UAL",-0.1757
2020-06-11,"BA",-0.1794
2020-06-12,"UAL",0.1742
2020-09-08,"TSLA",-0.2365
2020-11-09,"UAL",0.1752
2020-11-09,"ETSY",-0.1881
2020-11-09,"SPG",0.2458
2021-01-20,"NFLX",0.1558
2021-03-09,"TSLA",0.1793
2021-05-06,"ETSY",-0.1575
2022-01-21,"NFLX",-0.2458
2022-02-25,"ETSY",0.1503
2022-03-07,"UAL",-0.1626
2022-04-20,"NFLX",-0.4326
2022-05-05,"ETSY",-0.1843
2022-09-08,"REGN",0.1727
