"stock_1","stock_2","pearson_r"
"MSFT","NVDA",0.74
"UAL","BA",0.72
"UAL","SPG",0.69
"BA","SPG",0.67
"JPM","SPG",0.65
"JPM","BA",0.63
"UAL","JPM",0.62
"XOM","JPM",0.62
"JPM","DIS",0.62
"BA","DIS",0.55
"DIS","SPG",0.55
"UAL","DIS",0.54
"XOM","SPG",0.54
"XOM","BA",0.53
"MSFT","DIS",0.53
"TSLA","NVDA",0.53
"ETSY","NVDA",0.52
"JPM","MSFT",0.5
"JPM","DUK",0.5
"NFLX","NVDA",0.5
"NFLX","MSFT",0.49
"ETSY","MSFT",0.48
"XOM","DIS",0.48
"MSFT","TSLA",0.48
"UAL","XOM",0.47
"PFE","DUK",0.46
"DIS","NVDA",0.45
"NFLX","ETSY",0.44
"WMT","MSFT",0.44
"REGN","MSFT",0.43
"MSFT","BA",0.43
"WMT","DUK",0.43
"MSFT","DUK",0.42
"DUK","SPG",0.41
"XOM","DUK",0.4
"JPM","NVDA",0.4
"BA","NVDA",0.4
"BA","DUK",0.39
"NFLX","TSLA",0.39
"PFE","JPM",0.38
"PFE","MSFT",0.38
"DUK","DIS",0.38
"NFLX","DIS",0.37
"ETSY","TSLA",0.36
"REGN","NVDA",0.36
"PFE","REGN",0.35
"BA","TSLA",0.35
"MSFT","SPG",0.35
"XOM","MSFT",0.34
"WMT","NVDA",0.33
"TSLA","SPG",0.33
"UAL","MSFT",0.32
"DIS","TSLA",0.32
"UAL","TSLA",0.31
"UAL","NVDA",0.31
"ETSY","BA",0.3
"ETSY","DIS",0.3
"XOM","NVDA",0.3
"WMT","PFE",0.29
"XOM","PFE",0.29
"WMT","REGN",0.29
"UAL","DUK",0.29
"JPM","TSLA",0.29
"NVDA","SPG",0.29
"WMT","JPM",0.28
"WMT","DIS",0.28
"PFE","BA",0.27
"PFE","DIS",0.27
"PFE","NVDA",0.27
"ETSY","REGN",0.26
"DUK","NVDA",0.26
"WMT","ETSY",0.25
"NFLX","BA",0.25
"REGN","DUK",0.25
"PFE","SPG",0.25
"WMT","NFLX",0.24
"NFLX","REGN",0.24
"ETSY","JPM",0.23
"WMT","XOM",0.21
"NFLX","JPM",0.21
"XOM","TSLA",0.2
"UAL","ETSY",0.19
"ETSY","PFE",0.19
"UAL","PFE",0.18
"REGN","JPM",0.18
"REGN","TSLA",0.18
"ETSY","SPG",0.18
"WMT","BA",0.17
"UAL","NFLX",0.16
"NFLX","PFE",0.16
"ETSY","DUK",0.16
"REGN","DIS",0.16
"XOM","REGN",0.15
"WMT","TSLA",0.15
"DUK","TSLA",0.15
"NFLX","SPG",0.15
"WMT","SPG",0.14
"NFLX","XOM",0.13
"REGN","BA",0.13
"NFLX","DUK",0.12
"PFE","TSLA",0.11
"ETSY","XOM",0.1
"REGN","SPG",0.08
"WMT","UAL",0.07
"UAL","REGN",0
